Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
Population growth (annual %),SP.POP.GROW,Mexico,MEX,0.969124204799117
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.329674160226437
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.16302237797705
Population growth (annual %),SP.POP.GROW,Monaco,MCO,1.40210042123736
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,2.02736957640078
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.11231965238542
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.19450726277516
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.93066434696089
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.792792538685626
Population growth (annual %),SP.POP.GROW,Namibia,NAM,2.69727890929136
Population growth (annual %),SP.POP.GROW,Nauru,NRU,1.77348115445981
Population growth (annual %),SP.POP.GROW,Nepal,NPL,0.472697719209503
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.532178879608489
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,0.0900120253294113
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,2.24603210015584
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.34468900607336
Population growth (annual %),SP.POP.GROW,Niger,NER,3.67426137513091
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.47183239057048
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,-1.44888981594755
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.880969815359919
Population growth (annual %),SP.POP.GROW,Oman,OMN,4.80473653238819
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.30216393815952
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.151826160128869
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.72866876171939
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,2.46804330802257
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.45104639106418
Population growth (annual %),SP.POP.GROW,Peru,PER,1.33357065112944
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.34190709540685
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.04298513087435
Population growth (annual %),SP.POP.GROW,Portugal,PRT,-0.315459016997883
Population growth (annual %),SP.POP.GROW,Puerto Rico (US),PRI,-1.5604116086776
Population growth (annual %),SP.POP.GROW,Qatar,QAT,5.49972976958708
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.573660845379617
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.258751057379474
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.36997866838859
Population growth (annual %),SP.POP.GROW,Samoa,WSM,0.847318414943751
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.618202520367254
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.6823011731644
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,3.74506540506437
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.97843134010735
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.523694463062603
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,1.33763477950025
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.35457342669593
Population growth (annual %),SP.POP.GROW,Singapore,SGP,1.29743609938602
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,2.05501156733828
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.128922329956911
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.0731972072415279
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,3.52842038261052
Population growth (annual %),SP.POP.GROW,"Somalia, Fed. Rep.",SOM,3.8489103342184
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,0.940521897823675
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,-2.52965683465808
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.0771658726133905
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,1.13327749793807
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,-0.0254879889232652
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.422763651310013
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-0.520499136043373
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.572879410655285
Population growth (annual %),SP.POP.GROW,Sudan,SDN,3.04008474256183
Population growth (annual %),SP.POP.GROW,Suriname,SUR,1.04842483742266
